,Name,categories,Address,format_address,reviews,rating,city,country,lat,lng,price,postal,state
65,Smoke Station,Smoke Shop,2627 N Kedzie Ave,2627 N Kedzie Ave (Milwaukee),,,Chicago,US,41.92930016313568,-87.70720310207253,,60647,IL
66,Arabica Hookah & Vape,Smoke Shop,7307 W 87th St,7307 W 87th St,,,Bridgeview,US,41.732774,-87.802752,,60455,IL
67,Smokes & Such,Smoke Shop,3439 Dempster St,3439 Dempster St,,,Skokie,US,42.040521000000005,-87.7151,,60076,IL
68,Chicago Vapor Zone,Hobby Shop,6238 North Broadway St,6238 North Broadway St (Rosemont),,,Chicago,US,41.995176,-87.660826,,60660,IL
69,Joyluck Vapor & Gaming Lounge,Vape Store,4114 Southwest Hwy,4114 Southwest Hwy,,,Hometown,US,41.73346710205078,-87.7249526977539,,60456,IL
70,HotVapes,Vape Store,1740 N Milwaukee Ave,1740 N Milwaukee Ave,,,Chicago,US,41.913043,-87.682035,,60647,IL
71,VAPE KING- CBD.KRATOM.HOOKAH,Vape Store,7182 Dempster St,7182 Dempster St,,,Morton Grove,US,42.041453,-87.805781,,60053,IL
72,Chicago Vapor Zone,Hobby Shop,1410 N Milwaukee Ave,1410 N Milwaukee Ave,,,Chicago,US,41.9074137,-87.6732348,,60622,IL
73,Smokes And Vapes,Smoke Shop,5717 W. 95th St.,5717 W. 95th St.,,,Oak Lawn,US,41.7193918587126,-87.7633810043335,,60453,IL
74,Berwyn Tobacco & Vapes,Vape Store,2825 S Harlem Ave,2825 S Harlem Ave,,,Berwyn,US,41.840316,-87.802757,,60402,IL
75,City Tobacco and Vape,Vape Store,1524 Miner Street,1524 Miner Street,,,Des Plaines,US,42.0409036,-87.8856453,,60016,IL
76,VapeStop,Vape Store,8050 S Cicero Ave,8050 S Cicero Ave (West 80th Street),,,Burbank,US,41.746033000000004,-87.742373,,60459,IL
77,Vortex Vapes and Smoke Shop,Vape Store,3375 Milwaukee Ave,3375 Milwaukee Ave,,,Northbrook,US,42.09162,-87.87421,,60062,IL
78,Smoque Vapours,Smoke Shop,2900 N Broadway St,2900 N Broadway St (Surf),,,Chicago,US,41.935127,-87.644485,,60657,IL
79,Vape312 River West,Smoke Shop,728 W Grand Ave,728 W Grand Ave,,,Chicago,US,41.891200746027266,-87.64720020083122,,60654,IL
80,Cigarette City,Smoke Shop,6250 S Harlem Ave,6250 S Harlem Ave,,,Summit,US,41.77823363226396,-87.80127796700798,,60501,IL
81,Tobacco Island,Smoke Shop,"11051 S Cicero Ave, Oak Lawn, IL 60453","11051 S Cicero Ave, Oak Lawn, IL 60453",,,Oak Lawn,US,41.691359999999996,-87.739384,,60453,IL
82,Humidor of Westmont,Smoke Shop,225 E Ogden Ave,225 E Ogden Ave,,,Westmont,US,41.81005624689794,-87.96890157347075,,60559,IL
83,Route 66 Beverage,Smoke Shop,6847 Ogden Ave,6847 Ogden Ave (at Kenilworth),,,Berwyn,US,41.826766276162104,-87.79469271598954,,60402,IL
84,Casa De Montecristo,Smoke Shop,1332 W 55th St,1332 W 55th St (Willow Springs Rd),,,Countryside,US,41.790349384181624,-87.88677773517863,,60525,IL
85,Eastgate Wine & Spirits,Liquor Store,446 W Diversey Pkwy,446 W Diversey Pkwy (at Pine Grove Ave),,,Chicago,US,41.93285426610967,-87.64127945533924,,60614,IL
86,Leland Liquors,Liquor Store,2301-2399 W Leland Ave,2301-2399 W Leland Ave (W Leland Ave),,,Chicago,US,41.96658688614975,-87.6887823005659,,60625,IL
87,Up Down Cigar,Smoke Shop,1550 N Wells St,1550 N Wells St (at W North Ave),,,Chicago,US,41.910640464532534,-87.63476487581704,,60610,IL
88,8 to 8 Cigar,Smoke Shop,300 E Saint Charles Rd,300 E Saint Charles Rd,,,Villa Park,US,41.89019547134262,-87.97224293852017,,60181,IL
89,Hubbard and State Cigar Shop,Smoke Shop,6 W Hubbard St,6 W Hubbard St (State),,,Chicago,US,41.88995454659569,-87.62833889751288,,60654,IL
90,Biggs,Lounge,1150 N Dearborn St,1150 N Dearborn St (at W Elm St),,,Chicago,US,41.90320125215219,-87.6302539031579,,60610,IL
91,Hyde Park Cigars,Hobby Shop,5220 S. Harper Ave,5220 S. Harper Ave,,,Chicago,US,41.8004804336793,-87.58942873228399,,60615,IL
92,Iwan Ries & Co,Smoke Shop,19 S Wabash Ave 2nd floor,19 S Wabash Ave 2nd floor (btwn E Madison St & E Monroe St),,,Chicago,US,41.88159117921783,-87.62614790069705,,60603,IL
93,T-Town Vape Shop,Smoke Shop,244 E North Ave,244 E North Ave,,,Northlake,US,41.907686,-87.893731,,60164,IL
94,Swisher & Sweets,Smoke Shop,6421 S King Dr,6421 S King Dr,,,Chicago,US,41.77773666381836,-87.61512756347656,,60637,IL
95,Cigars & Vapes,Smoke Shop,8740 S Kedzie Ave,8740 S Kedzie Ave,,,Evergreen Park,US,41.734123,-87.702844,,60805,IL
96,Habana Cigar House,Smoke Shop,2215 Algonquin Rd,2215 Algonquin Rd,,,Rolling Meadows,US,42.057692974719316,-88.00802453922786,,60008,IL
97,Rocky Patel Cigar Lounge,Smoke Shop,4300 N Harlem Ave,4300 N Harlem Ave,,,Norridge,US,41.958295,-87.807594,,60706,IL
98,Park West Liquor & Smoke Shop,Liquor Store,2581 N Lincoln Ave,2581 N Lincoln Ave,,,Chicago,US,41.928836,-87.65320899999999,,60614,IL
99,Windy City Cigar Lounge,Smoke Shop,4310 S Prairie Ave,4310 S Prairie Ave,,,Chicago,US,41.816172,-87.620029,,60653,IL
100,Smoke Shop Guys,Smoke Shop,4843,4843 (Dempster St.),,,Skokie,US,42.040578,-87.748964,,60077,IL
101,Saint Lucia's Smoke Shop,Smoke Shop,2075 N Western Ave,2075 N Western Ave,,,Chicago,US,41.91978530812654,-87.6874421612386,,60647,IL
102,Cigar Oasis,Smoke Shop,7619 Lake St,7619 Lake St,,,River Forest,US,41.888267,-87.815601,,60305,IL
103,Morgan Tobacco Hub,Smoke Shop,37 N Morgan St,37 N Morgan St,,,Chicago,US,41.882799,-87.651811,,60607,IL
104,Mr. Nice Guy Smoke Shop,Smoke Shop,3434 N Halsted St,3434 N Halsted St (Newport),,,Chicago,US,41.944786071777344,-87.6495361328125,,60657,IL
105,Pipes Chicago,Smoke Shop,6029 N Lincoln Ave,6029 N Lincoln Ave (peterson),,,Chicago,US,41.990907,-87.707273,,60659,IL
106,Roots Smoke & Vapor Shop,Smoke Shop,2626 N Milwaukee Ave,2626 N Milwaukee Ave (Kedzie),,,Chicago,US,41.92947500368144,-87.70824445624544,,60647,IL
107,Discount Tobacco,Smoke Shop,1376 W North Ave,1376 W North Ave (15th Ave),,,Melrose Park,US,41.907839,-87.850686,,60160,IL
108,Utopia Cigars,Smoke Shop,6355 W Montrose Ave,6355 W Montrose Ave (at Narragansett Ave.),,,Chicago,US,41.959928000000005,-87.786369,,60634,IL
109,Worth Tobacco,Smoke Shop,10718 S Harlem Ave,10718 S Harlem Ave,,,Worth,US,41.6964499,-87.7981303,,60482,IL
110,SMOKE Chicago,Smoke Shop,1844 W Irving Park Rd,1844 W Irving Park Rd,,,Chicago,US,41.954405,-87.675956,,60613,IL
111,"Toni's Wines, Liquors and Beer",Liquor Store,4033 Old Orchard Rd,4033 Old Orchard Rd,,,Skokie,US,42.062275,-87.729559,,60076,IL
112,Low Bob's Discount Tobacco,Smoke Shop,4314 Calumet Ave,4314 Calumet Ave,,,Hammond,US,41.63507,-87.508759,,46320,IN
113,C-Side Tobacco,Smoke Shop,5501 W Plainfield Rd.,5501 W Plainfield Rd. (Plainfield),,,Countryside,US,41.7902337216334,-87.87575784577292,,60525,IL
114,Adams Apple,Smoke Shop,6229 N California Ave,6229 N California Ave (Granville),,,Chicago,US,41.994876,-87.69929599999999,,60659,IL
115,The Tobacco Leaf,Smoke Shop,7615 W 159th St,7615 W 159th St (159th and 76th),,,Tinley Park,US,41.6016525474941,-87.80513203496328,,60477,IL
116,AMERICAN SMOKE & VAPE,Smoke Shop,8404 Grand Ave,8404 Grand Ave,,,River Grove,US,41.9289176,-87.83626319999999,,60171,IL
